ball,commentry
19.6,"19.6 Avesh Khan to Wade, 1 run, Wade slogs the full toss to deep mid-wicket and that will be it. India seal the series 3-1 with a game to go."
19.5,"19.5 Avesh Khan to Wade, no run, full on middle and leg, Wade flicks it to the left of deep mid-wicket and decides against the single"
19.4,"19.4 Avesh Khan to Wade, SIX, a little too late for Wade and Australia. Full and on the pads, Wade stays low and helps it away over fine leg with a well-timed swipe"
19.4,"19.4 Avesh Khan to Wade, wide, 133ks full and slipping down leg, Wade looks to help it away over fine leg but no dice"
19.3,"19.3 Avesh Khan to Wade, 2 runs, full outside off, Wade biffs the drive wide of extra cover and completes a comfortable second"
19.2,"19.2 Avesh Khan to Wade, no run, full outside off and the celebrations begin in Raipur as Wade mistimes the drive to long-off"
19.1,"19.1 Avesh Khan to Wade, no run, full toss on the stumps at 137ks, Wade heaves but can only drag it as far as deep mid-wicket"
18.6,"18.6 Mukesh Kumar to Wade, 1 run, direct hit would have been curtains for Matthew Wade, not to be. He smashes the length delivery to cover and hurries for a quick single, the fielder had one stump to aim and misses it. Mukesh Kumar was a bit late in getting back to the stumps, surely there was more than half an opportunity...."
18.5,"18.5 Mukesh Kumar to Wade, 2 runs, 131ks full on the stumps, Wade mistimes the drive well enough in front of long-on to nab a couple of runs"
18.4,"18.4 Mukesh Kumar to Wade, no run, 134ks full outside off, Wade makes room and slices the drive straight to cover"
18.3,"18.3 Mukesh Kumar to Chris Green, 1 run, 133ks full toss outside off, Chris Green slaps it down the ground towards long-off"
18.2,"18.2 Mukesh Kumar to Wade, 1 run, tries to thump it down the ground and mistimes it towards long-off. Slower fullish delivery outside off, Wade toe-ends the loft and it drops well short of Axar running in from the deep"
18.1,"18.1 Mukesh Kumar to Wade, FOUR, once again Wade hits a boundary first ball of the over. Full and in the slot around off, Wade leans forward and blazes the drive through extra cover with spectacular timing..."
17.6,"17.6 Avesh Khan to Chris Green, no run, ends the over with a 133ks yorker on the stumps, Chris Green makes room and squeezes it towards cover. Wade decides against a quick single"
17.5,"17.5 Avesh Khan to Wade, 1 run, 135ks very full on leg stump, flicked away to the left of deep square"
17.4,"17.4 Avesh Khan to Chris Green, 1 run, 129ks full toss on the stumps, Chris Green splices the drive to long-off"
17.3,"17.3 Avesh Khan to Dwarshuis, out Bowled!! The off pole goes cartwheeling. Avesh Khan does not want to celebrate. He might be still thinking about that first delivery? Bowls a pacy length delivery and targets the top of off, Dwarshuis made room but had a blind swing instead of trying to force it straight. Result? You miss, I hit. Off stick gets uprooted much to the delight of the fans in the ground. Dwarshuis b Avesh Khan 1(2)"
17.2,"17.2 Avesh Khan to Wade, 1 run, 134ks yorker length outside off, Wade drills it down to the left of long-off"
17.1,"17.1 Avesh Khan to Wade, FOUR, Australia would love more of those. Short outside off, Wade is quick to swivel on the pull and place it in the gap over mid-wicket. Too easy..."
16.6,"16.6 Chahar to Wade, 1 run, slow low full toss outside off, Wade cue ends the drive to long-off"
16.5,"16.5 Chahar to Dwarshuis, 1 run, short of length delivery just outside off, Dwarshuis looks to work leg-side and gets a thick inside edge towards fine leg"
